Programme_name,School_Name,Programme_requirement,Document_Requirements,Specialization,Country,University_Website
MSc Chemistry,Manipal University Jaipur,Candidate must have passed BSc degree from recognized University / Institution or equivalent qualification as recognized by Association of Indian Universities (AIU) or other competent body with minimum of 50% marks in aggregate.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Science,India,jaipur.manipal.edu
M.Tech Data Science,Manipal University Jaipur,"The candidates must have passed B Tech/BE/AMIE in CSE, IT, CCE, ECE, EEE, Information Science or M.Sc. Computer Science or IT or Information Science with minimum 50% marks in aggregate or equivalent CGPA.","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Science,India,jaipur.manipal.edu
M.Tech Energy Science & Technology,Manipal University Jaipur,At least 50% aggregate marks in any branch of Engineering or master’s degree in Energy/Physics/Chemistry/Environment Science/ Environment Engineering.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
M.Tech Industrial Automation and Robotics,Manipal University Jaipur,B. Tech /BE in Electronics/ Mechanical/Mechatronics/ Electrical/ CSE/ Instrumentation & Control Engineering / EEE with minimum 55% marks. Or equivalent.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
Master of Human Resource Management (MHRM),Manipal University Jaipur,"The candidate must have a Bachelor’s degree (those who are pursuing must submit the evidence of passing by October 31, 2023) in any discipline from a recognized university with a minimum of 50% marks in aggregate and valid score from any aptitude test (CAT / MAT / CMAT / XAT / GMAT).","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Business,India,jaipur.manipal.edu
Master of Science in Business Analytics (MSBA),Manipal University Jaipur,"The candidate should have passed graduate or its equivalent in any discipline (preferably students with maths in 10+2 and graduate from Engineering, Science, Computer Applications, Economics) with minimum 50% marks in aggregate. The selection will be based on the career and interview with equal weightage.","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Business,India,jaipur.manipal.edu
MSc Cell and Molecular Biology,Manipal University Jaipur,Candidate must have passed BSc degree from recognized University / Institution or equivalent qualification as recognized by Association of Indian Universities (AIU) or other competent body with minimum of 50% marks in aggregate.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
"M.Tech Computer Science and Engineering (Artificial
Intelligence & Machine Learning)",Manipal University Jaipur,"B. Tech/B.E or AMIE in CSE, CE, IT, ISE, AIML and equivalent branch of Engineering/ MCA/MSc(IT) with minimum 50% marks in aggregate or Passed Four year Bachelor’s Degree or equivalent in the relevant field. Obtained at least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
Master of Science in Business Management (MSB),Manipal University Jaipur,"Candidates must have a 10 + 2 + 3-year bachelor’s degree from a recognized university/institution or an equivalent qualification as recognized by the Association of Indian Universities.
Candidates who have completed 10+2 education or graduate level education outside India must produce a certificate of equivalence issued by the Association of Indian Universities.","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Business,India,jaipur.manipal.edu
MASTER OF COMMERCE IN FINANCIAL ANALYSIS,Manipal University Jaipur,A candidate for being eligible for admission to the Master course in M.Com shall have passed B.Com from any university with a minimum of 50% marks.,"High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Business,India,jaipur.manipal.edu
MASTER OF COMPUTER APPLICATIONS (MCA),Manipal University Jaipur,"Passed B.C.A/ B.Sc. (Computer Science)/ B.Sc. (IT) / B.E. (CSE)/ B.Tech. (CSE) / B.E. (IT) / B.Tech. (IT) or equivalent Degree.
OR
Passed any graduation degree (e.g.: B.E. / B.Tech. / B.Sc / B.Com. / B.A./ B. Voc./ etc.,) preferably with Mathematics at 10+2 level or at Graduation level Obtained at least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination. (for students having no Mathematics background compulsory bridge course will be framed by the respective University/ Institution and additional bridge courses related to computer subjects as per the norms of the concerned University).","High school/Degree certificate and transcript, International passport, Resume, 2years work experience proof [Masters]",Tech,India,jaipur.manipal.edu
Master of Public Health,Arden University,"A bachelor’s degree or equivalent at 2:2 level
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply
IELTS 6.5 (no less than 6.0 in any element); or TOEFL iBT 90; or equivalent
Alternatively, evidence you have previously studied in English, such as a letter to show that the Medium of Instruction was in English, can be accepted.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,",Healthcare,GERMANY,https://arden.ac.uk/
